onset	duration	begsample	endsample	offset	ai_hb
6090	30	1559041	1566720	0	2
6120	30	1566721	1574400	0	2
6150	30	1574401	1582080	0	2
6180	30	1582081	1589760	0	2
6210	30	1589761	1597440	0	2
6240	30	1597441	1605120	0	2
6270	30	1605121	1612800	0	2
6300	30	1612801	1620480	0	2
6330	30	1620481	1628160	0	2
6360	30	1628161	1635840	0	2
6390	30	1635841	1643520	0	3
6420	30	1643521	1651200	0	3
6450	30	1651201	1658880	0	3
6480	30	1658881	1666560	0	3
6510	30	1666561	1674240	0	3
6540	30	1674241	1681920	0	3
6570	30	1681921	1689600	0	3
6600	30	1689601	1697280	0	3
6630	30	1697281	1704960	0	3
6660	30	1704961	1712640	0	3
6690	30	1712641	1720320	0	3
6720	30	1720321	1728000	0	3
6750	30	1728001	1735680	0	3
6780	30	1735681	1743360	0	3
6810	30	1743361	1751040	0	3
6840	30	1751041	1758720	0	3
6870	30	1758721	1766400	0	3
6900	30	1766401	1774080	0	3
6930	30	1774081	1781760	0	3
6960	30	1781761	1789440	0	3
6990	30	1789441	1797120	0	3
7020	30	1797121	1804800	0	3
7050	30	1804801	1812480	0	3
7080	30	1812481	1820160	0	3
7110	30	1820161	1827840	0	3
7140	30	1827841	1835520	0	3
7170	30	1835521	1843200	0	3
7200	30	1843201	1850880	0	3
7230	30	1850881	1858560	0	3
7260	30	1858561	1866240	0	3
7290	30	1866241	1873920	0	3
7320	30	1873921	1881600	0	3
7350	30	1881601	1889280	0	-2
7380	30	1889281	1896960	0	-2
7410	30	1896961	1904640	0	-2
7440	30	1904641	1912320	0	-2
7470	30	1912321	1920000	0	-2
7500	30	1920001	1927680	0	-2
7530	30	1927681	1935360	0	-2
7560	30	1935361	1943040	0	-2
7590	30	1943041	1950720	0	-2
7620	30	1950721	1958400	0	-2
7650	30	1958401	1966080	0	-2
7680	30	1966081	1973760	0	-2
7710	30	1973761	1981440	0	-2
7740	30	1981441	1989120	0	-2
7770	30	1989121	1996800	0	-2
7800	30	1996801	2004480	0	-2
7830	30	2004481	2012160	0	-2
7860	30	2012161	2019840	0	-2
7890	30	2019841	2027520	0	-2
7920	30	2027521	2035200	0	-2
7950	30	2035201	2042880	0	-2
7980	30	2042881	2050560	0	-2
8010	30	2050561	2058240	0	-2
8040	30	2058241	2065920	0	-2
8070	30	2065921	2073600	0	-2
8100	30	2073601	2081280	0	-2
8130	30	2081281	2088960	0	-2
8160	30	2088961	2096640	0	-2
8190	30	2096641	2104320	0	-2
8220	30	2104321	2112000	0	-2
8250	30	2112001	2119680	0	-2
8280	30	2119681	2127360	0	-2
8310	30	2127361	2135040	0	-2
8340	30	2135041	2142720	0	-2
8370	30	2142721	2150400	0	-2
8400	30	2150401	2158080	0	-2
8430	30	2158081	2165760	0	-2
8460	30	2165761	2173440	0	-2
8490	30	2173441	2181120	0	-2
8520	30	2181121	2188800	0	-2
8550	30	2188801	2196480	0	-2
8580	30	2196481	2204160	0	-2
8610	30	2204161	2211840	0	-2
8640	30	2211841	2219520	0	-2
8670	30	2219521	2227200	0	-2
8700	30	2227201	2234880	0	-2
8730	30	2234881	2242560	0	-2
8760	30	2242561	2250240	0	-2
8790	30	2250241	2257920	0	-2
8820	30	2257921	2265600	0	-2
8850	30	2265601	2273280	0	-2
8880	30	2273281	2280960	0	-2
8910	30	2280961	2288640	0	-2
8940	30	2288641	2296320	0	-2
8970	30	2296321	2304000	0	-2
9000	30	2304001	2311680	0	-2
9030	30	2311681	2319360	0	-2
9060	30	2319361	2327040	0	-2
9090	30	2327041	2334720	0	-2
9120	30	2334721	2342400	0	-2
9150	30	2342401	2350080	0	-2
9180	30	2350081	2357760	0	-2
9210	30	2357761	2365440	0	-2
9240	30	2365441	2373120	0	-2
9270	30	2373121	2380800	0	-2
9300	30	2380801	2388480	0	-2
9330	30	2388481	2396160	0	-2
9360	30	2396161	2403840	0	-2
9390	30	2403841	2411520	0	-2
9420	30	2411521	2419200	0	-2
9450	30	2419201	2426880	0	-2
9480	30	2426881	2434560	0	-2
9510	30	2434561	2442240	0	-2
9540	30	2442241	2449920	0	-2
9570	30	2449921	2457600	0	-2
9600	30	2457601	2465280	0	-2
9630	30	2465281	2472960	0	-2
9660	30	2472961	2480640	0	-2
9690	30	2480641	2488320	0	-2
9720	30	2488321	2496000	0	-2
9750	30	2496001	2503680	0	-2
9780	30	2503681	2511360	0	-2
9810	30	2511361	2519040	0	-2
9840	30	2519041	2526720	0	-2
9870	30	2526721	2534400	0	-2
9900	30	2534401	2542080	0	-2
9930	30	2542081	2549760	0	-2
9960	30	2549761	2557440	0	-2
9990	30	2557441	2565120	0	-2
10020	30	2565121	2572800	0	-2
10050	30	2572801	2580480	0	-2
10080	30	2580481	2588160	0	-2
10110	30	2588161	2595840	0	-2
10140	30	2595841	2603520	0	-2
10170	30	2603521	2611200	0	-2
10200	30	2611201	2618880	0	-2
10230	30	2618881	2626560	0	-2
10260	30	2626561	2634240	0	-2
10290	30	2634241	2641920	0	-2
10320	30	2641921	2649600	0	-2
10350	30	2649601	2657280	0	-2
10380	30	2657281	2664960	0	-2
10410	30	2664961	2672640	0	-2
10440	30	2672641	2680320	0	-2
10470	30	2680321	2688000	0	-2
10500	30	2688001	2695680	0	-2
10530	30	2695681	2703360	0	-2
10560	30	2703361	2711040	0	-2
10590	30	2711041	2718720	0	-2
10620	30	2718721	2726400	0	-2
